,order,header,state,foreign_born,us_born,foreign_median_wages,us_median_wages
1,1,"Earned $1-$9,999, or incurred a loss",SD,1.6%,2.1%,49044,58841
2,2,"Earned $10,000-$14,999",SD,1.6%,2.8%,49044,58841
3,3,"Earned $15,000-$24,999",SD,18.8%,10.7%,49044,58841
4,4,"Earned $25,000-$34,999",SD,26.7%,19.1%,49044,58841
5,5,"Earned $35,000-$49,999",SD,28.5%,25.7%,49044,58841
6,6,"Earned $50,000-$74,999",SD,15.4%,23.1%,49044,58841
7,7,"Earned $75,000 or more",SD,7.5%,16.5%,49044,58841
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",TN,"177,093","2,218,519",54554,56126
1,1,"Earned $1-$9,999, or incurred a loss",TN,2.0%,1.7%,54554,56126
2,2,"Earned $10,000-$14,999",TN,4.0%,3.0%,54554,56126
3,3,"Earned $15,000-$24,999",TN,19.5%,12.5%,54554,56126
4,4,"Earned $25,000-$34,999",TN,22.0%,18.1%,54554,56126
5,5,"Earned $35,000-$49,999",TN,19.1%,22.5%,54554,56126
6,6,"Earned $50,000-$74,999",TN,13.6%,22.1%,54554,56126
7,7,"Earned $75,000 or more",TN,19.9%,20.1%,54554,56126
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",TX,"2,364,405","8,160,725",54181,66818
1,1,"Earned $1-$9,999, or incurred a loss",TX,2.1%,2.0%,54181,66818
2,2,"Earned $10,000-$14,999",TX,5.1%,3.3%,54181,66818
3,3,"Earned $15,000-$24,999",TX,19.5%,11.9%,54181,66818
4,4,"Earned $25,000-$34,999",TX,18.4%,14.7%,54181,66818
5,5,"Earned $35,000-$49,999",TX,18.0%,18.4%,54181,66818
6,6,"Earned $50,000-$74,999",TX,16.7%,23.2%,54181,66818
7,7,"Earned $75,000 or more",TX,20.3%,26.5%,54181,66818
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",UT,"138,956","945,454",63799,77228
1,1,"Earned $1-$9,999, or incurred a loss",UT,1.7%,1.5%,63799,77228
2,2,"Earned $10,000-$14,999",UT,4.1%,2.4%,63799,77228
3,3,"Earned $15,000-$24,999",UT,14.4%,8.3%,63799,77228
4,4,"Earned $25,000-$34,999",UT,23.6%,15.4%,63799,77228
5,5,"Earned $35,000-$49,999",UT,25.3%,20.2%,63799,77228
6,6,"Earned $50,000-$74,999",UT,16.8%,24.4%,63799,77228
7,7,"Earned $75,000 or more",UT,14.0%,27.7%,63799,77228
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",VT,"11,090","209,619",56782,62242
1,1,"Earned $1-$9,999, or incurred a loss",VT,1.0%,1.7%,56782,62242
2,2,"Earned $10,000-$14,999",VT,1.1%,2.2%,56782,62242
3,3,"Earned $15,000-$24,999",VT,11.6%,8.8%,56782,62242
4,4,"Earned $25,000-$34,999",VT,23.4%,16.6%,56782,62242
5,5,"Earned $35,000-$49,999",VT,21.0%,23.1%,56782,62242
6,6,"Earned $50,000-$74,999",VT,18.2%,25.9%,56782,62242
7,7,"Earned $75,000 or more",VT,23.6%,21.7%,56782,62242
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",VA,"544,181","2,704,019",81382,75775
1,1,"Earned $1-$9,999, or incurred a loss",VA,1.4%,1.7%,81382,75775
2,2,"Earned $10,000-$14,999",VA,2.5%,2.3%,81382,75775
3,3,"Earned $15,000-$24,999",VA,12.7%,9.4%,81382,75775
4,4,"Earned $25,000-$34,999",VA,15.9%,12.8%,81382,75775
5,5,"Earned $35,000-$49,999",VA,16.6%,18.2%,81382,75775
6,6,"Earned $50,000-$74,999",VA,18.0%,22.3%,81382,75775
7,7,"Earned $75,000 or more",VA,33.0%,33.3%,81382,75775
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",WA,"528,324","2,163,062",79410,78593
1,1,"Earned $1-$9,999, or incurred a loss",WA,1.3%,1.1%,79410,78593
2,2,"Earned $10,000-$14,999",WA,2.1%,1.4%,79410,78593
3,3,"Earned $15,000-$24,999",WA,8.0%,6.9%,79410,78593
4,4,"Earned $25,000-$34,999",WA,16.3%,11.9%,79410,78593
5,5,"Earned $35,000-$49,999",WA,19.0%,18.3%,79410,78593
6,6,"Earned $50,000-$74,999",WA,17.6%,24.4%,79410,78593
7,7,"Earned $75,000 or more",WA,35.8%,36.1%,79410,78593
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",WV,"11,186","522,916",53858,46580
1,1,"Earned $1-$9,999, or incurred a loss",WV,1.5%,1.7%,53858,46580
2,2,"Earned $10,000-$14,999",WV,3.0%,3.6%,53858,46580
3,3,"Earned $15,000-$24,999",WV,15.2%,15.6%,53858,46580
4,4,"Earned $25,000-$34,999",WV,16.5%,19.0%,53858,46580
5,5,"Earned $35,000-$49,999",WV,16.9%,20.5%,53858,46580
6,6,"Earned $50,000-$74,999",WV,20.7%,20.7%,53858,46580
7,7,"Earned $75,000 or more",WV,26.2%,18.8%,53858,46580
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",WI,"138,028","2,010,794",58695,64598
1,1,"Earned $1-$9,999, or incurred a loss",WI,2.2%,1.6%,58695,64598
2,2,"Earned $10,000-$14,999",WI,2.3%,2.2%,58695,64598
3,3,"Earned $15,000-$24,999",WI,14.1%,8.3%,58695,64598
4,4,"Earned $25,000-$34,999",WI,19.7%,14.7%,58695,64598
5,5,"Earned $35,000-$49,999",WI,24.7%,23.2%,58695,64598
6,6,"Earned $50,000-$74,999",WI,18.6%,27.1%,58695,64598
7,7,"Earned $75,000 or more",WI,18.4%,22.8%,58695,64598
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",WY,"8,448","200,157",54533,64386
1,1,"Earned $1-$9,999, or incurred a loss",WY,2.0%,2.2%,54533,64386
2,2,"Earned $10,000-$14,999",WY,4.6%,3.4%,54533,64386
3,3,"Earned $15,000-$24,999",WY,19.0%,10.3%,54533,64386
4,4,"Earned $25,000-$34,999",WY,20.0%,15.6%,54533,64386
5,5,"Earned $35,000-$49,999",WY,22.4%,19.5%,54533,64386
6,6,"Earned $50,000-$74,999",WY,13.7%,24.0%,54533,64386
7,7,"Earned $75,000 or more",WY,18.4%,25.0%,54533,64386
